fips_code,incident_start_date,incidenttype,is_major_disaster,state
13145,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13161,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13171,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13193,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13197,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13199,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13209,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13211,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13215,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13217,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13221,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13227,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13259,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13263,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13265,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13269,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13281,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13285,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13291,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13293,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13307,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
13317,2015-12-22 00:00:00+00:00,Severe Storm,1,GA
35000,2020-01-20 00:00:00+00:00,Biological,0,NM
35000,2020-01-20 00:00:00+00:00,Biological,0,NM
35000,2020-01-20 00:00:00+00:00,Biological,0,NM
35000,2024-06-17 00:00:00+00:00,Fire,1,NM
35027,2024-06-17 00:00:00+00:00,Fire,1,NM
35035,2024-06-17 00:00:00+00:00,Fire,1,NM
35039,2024-06-17 00:00:00+00:00,Fire,1,NM
35045,2024-06-17 00:00:00+00:00,Fire,1,NM
31007,2024-04-06 00:00:00+00:00,Severe Storm,1,NE
31033,2024-04-06 00:00:00+00:00,Severe Storm,1,NE
31045,2024-04-06 00:00:00+00:00,Severe Storm,1,NE
31069,2024-04-06 00:00:00+00:00,Severe Storm,1,NE
31105,2024-04-06 00:00:00+00:00,Severe Storm,1,NE
31123,2024-04-06 00:00:00+00:00,Severe Storm,1,NE
31157,2024-04-06 00:00:00+00:00,Severe Storm,1,NE
31165,2024-04-06 00:00:00+00:00,Severe Storm,1,NE
23005,2024-04-03 00:00:00+00:00,Winter Storm,1,ME
23031,2024-04-03 00:00:00+00:00,Winter Storm,1,ME
48017,2024-04-26 00:00:00+00:00,Flood,1,TX
48023,2024-04-26 00:00:00+00:00,Flood,1,TX
48031,2024-04-26 00:00:00+00:00,Flood,1,TX
48035,2024-04-26 00:00:00+00:00,Flood,1,TX
48037,2024-04-26 00:00:00+00:00,Flood,1,TX
48049,2024-04-26 00:00:00+00:00,Flood,1,TX
48055,2024-04-26 00:00:00+00:00,Flood,1,TX
48067,2024-04-26 00:00:00+00:00,Flood,1,TX
48073,2024-04-26 00:00:00+00:00,Flood,1,TX
48077,2024-04-26 00:00:00+00:00,Flood,1,TX
48079,2024-04-26 00:00:00+00:00,Flood,1,TX
48081,2024-04-26 00:00:00+00:00,Flood,1,TX
48083,2024-04-26 00:00:00+00:00,Flood,1,TX
48095,2024-04-26 00:00:00+00:00,Flood,1,TX
48119,2024-04-26 00:00:00+00:00,Flood,1,TX
48147,2024-04-26 00:00:00+00:00,Flood,1,TX
48161,2024-04-26 00:00:00+00:00,Flood,1,TX
48177,2024-04-26 00:00:00+00:00,Flood,1,TX
48185,2024-04-26 00:00:00+00:00,Flood,1,TX
48193,2024-04-26 00:00:00+00:00,Flood,1,TX
48209,2024-04-26 00:00:00+00:00,Flood,1,TX
48217,2024-04-26 00:00:00+00:00,Flood,1,TX
48223,2024-04-26 00:00:00+00:00,Flood,1,TX
48225,2024-04-26 00:00:00+00:00,Flood,1,TX
48281,2024-04-26 00:00:00+00:00,Flood,1,TX
48287,2024-04-26 00:00:00+00:00,Flood,1,TX
48293,2024-04-26 00:00:00+00:00,Flood,1,TX
48305,2024-04-26 00:00:00+00:00,Flood,1,TX
48307,2024-04-26 00:00:00+00:00,Flood,1,TX
48313,2024-04-26 00:00:00+00:00,Flood,1,TX
